country,date,cases,date_start,date_end,mean_rt,median_rt,lb_rt,ub_rt
Belgium,2020-03-01,19,NA,NA,NA,NA,NA,NA
Belgium,2020-03-02,19,NA,NA,NA,NA,NA,NA
Belgium,2020-03-03,34,NA,NA,NA,NA,NA,NA
Belgium,2020-03-04,53,NA,NA,NA,NA,NA,NA
Belgium,2020-03-05,81,NA,NA,NA,NA,NA,NA
Belgium,2020-03-06,110,NA,NA,NA,NA,NA,NA
Belgium,2020-03-07,27,NA,NA,NA,NA,NA,NA
Belgium,2020-03-08,64,2020-03-02,2020-03-15,2.3332481186164635,2.3328003795066756,2.224799994827543,2.4442406883712606
Belgium,2020-03-09,94,2020-03-03,2020-03-16,2.3141784449255716,2.3138119978494602,2.2163641948432327,2.414075171054322
Belgium,2020-03-10,99,2020-03-04,2020-03-17,2.2773111710062066,2.2770066841722985,2.1887853021152806,2.367567404722468
Belgium,2020-03-11,174,2020-03-05,2020-03-18,2.263024706846658,2.2627710664511427,2.182414790704388,2.3450760343401362
Belgium,2020-03-12,250,2020-03-06,2020-03-19,2.2931480100681854,2.2929360383246316,2.2189063582358246,2.368594275638523
Belgium,2020-03-13,338,2020-03-07,2020-03-20,2.2070797977401977,2.2069028658546777,2.140499194247825,2.274665887509234
Belgium,2020-03-14,179,2020-03-08,2020-03-21,2.0459134872088933,2.0457652345184045,1.9872128706189314,2.1054566093137677
Belgium,2020-03-15,214,2020-03-09,2020-03-22,1.9010530150194256,1.9009268348401418,1.848834480170175,1.9539886196305762
Belgium,2020-03-16,387,2020-03-10,2020-03-23,2.053992146185674,2.053882706038144,2.003406088932933,2.1052001415268125
Belgium,2020-03-17,422,2020-03-11,2020-03-24,2.0899417367826305,2.0898469813922422,2.0424388792560175,2.137983080463055
Belgium,2020-03-18,534,2020-03-12,2020-03-25,2.0367096286462867,2.036628585503545,1.9933256597892584,2.08055415831395
Belgium,2020-03-19,713,2020-03-13,2020-03-26,1.9777308522885044,1.9776613855339527,1.938137852393902,2.01771862550221
Belgium,2020-03-20,662,2020-03-14,2020-03-27,1.9197190221404943,1.9196590499955395,1.883464395255815,1.9563144653819744
Belgium,2020-03-21,469,2020-03-15,2020-03-28,1.7734839553904558,1.773431802039968,1.7409837973145268,1.8062804963314134
Belgium,2020-03-22,486,2020-03-16,2020-03-29,1.627709056001424,1.6276630913317016,1.5984762151772802,1.6572031099782925
Belgium,2020-03-23,1328,2020-03-17,2020-03-30,1.6301538716551993,1.6301125655224715,1.6024146245404938,1.6581278578947265
Belgium,2020-03-24,1195,2020-03-18,2020-03-31,1.6203124781728713,1.620275007523583,1.5939673482586865,1.6468705505141925
Belgium,2020-03-25,1199,2020-03-19,2020-04-01,1.5704988320988276,1.5704648299167216,1.5457881601583277,1.5954027354812168
Belgium,2020-03-26,1363,2020-03-20,2020-04-02,1.5026251384504306,1.5025941457389957,1.4795466045899273,1.5258798011997423
Belgium,2020-03-27,1518,2020-03-21,2020-04-03,1.4693750406478385,1.4693465528916578,1.4474924290498308,1.4914195456989843
Belgium,2020-03-28,844,2020-03-22,2020-04-04,1.3962437727870598,1.3962173977996446,1.3757179181858692,1.4169195141621564
Belgium,2020-03-29,683,2020-03-23,2020-04-05,1.3158267966059054,1.3158021902960029,1.296580148892608,1.335213279852677
Belgium,2020-03-30,1738,2020-03-24,2020-04-06,1.283886073910474,1.283862854299567,1.2654168178998546,1.3024872849670468
Belgium,2020-03-31,1681,2020-03-25,2020-04-07,1.243131337786885,1.2431092389226641,1.2254010620139606,1.2609871995004855
Belgium,2020-04-01,1516,2020-03-26,2020-04-08,1.215065938632203,1.2150447887248301,1.1979168004339895,1.2323352699328038
Belgium,2020-04-02,1478,2020-03-27,2020-04-09,1.2228112843766892,1.222790930708693,1.2059332091074229,1.2398050277918693
Belgium,2020-04-03,1694,2020-03-28,2020-04-10,1.227061781909086,1.2270421590233103,1.210459566240594,1.2437755127537027
Belgium,2020-04-04,922,2020-03-29,2020-04-11,1.1925208828666383,1.1925019801208696,1.176456898158634,1.208692290257472
Belgium,2020-04-05,665,2020-03-30,2020-04-12,1.1427562843159682,1.1427380323907252,1.1273043284690614,1.158311964288006
Belgium,2020-04-06,1934,2020-03-31,2020-04-13,1.0468041550133327,1.0467864147282628,1.0322253675116433,1.0614837590292192
Belgium,2020-04-07,1515,2020-04-01,2020-04-14,1.0227889532168457,1.0227715126286765,1.008500759838906,1.0371762599568797
Belgium,2020-04-08,1598,2020-04-02,2020-04-15,1.0218263338682878,1.0218090133622346,1.0075939689500275,1.0361571297326855
Belgium,2020-04-09,2239,2020-04-03,2020-04-16,1.0273274682228088,1.0273102263181895,1.013089017147417,1.0416639035597723
Belgium,2020-04-10,2336,2020-04-04,2020-04-17,1.0071686817290355,1.0071515189113458,0.9931033608634456,1.0213315374110248
Belgium,2020-04-11,1029,2020-04-05,2020-04-18,0.993535339091956,0.9935182337031493,0.9795891802693492,1.0075787063669117
Belgium,2020-04-12,524,2020-04-06,2020-04-19,0.9817315862587946,0.9817144880379453,0.9678717037985521,0.9956886364357644
Belgium,2020-04-13,537,2020-04-07,2020-04-20,0.9496597764234407,0.949642647899889,0.9360169366587281,0.9633999561102404
Belgium,2020-04-14,1560,2020-04-08,2020-04-21,0.9421484281005208,0.9421312067550786,0.9285232055751463,0.9558715180458812
Belgium,2020-04-15,1633,2020-04-09,2020-04-22,0.9078478496357346,0.9078304729535569,0.8944138925839915,0.9213805568694986
Belgium,2020-04-16,1674,2020-04-10,2020-04-23,0.8525588941627585,0.8525412997313944,0.8394609705324941,0.8657568054191641
Belgium,2020-04-17,1394,2020-04-11,2020-04-24,0.7877290615558389,0.7877111101447475,0.7750143670807723,0.8005457723335245
Belgium,2020-04-18,722,2020-04-12,2020-04-25,0.7765872916763731,0.7765687830725035,0.7637695767284112,0.7895101894007202
Belgium,2020-04-19,443,2020-04-13,2020-04-26,0.7882514827863846,0.7882322576927312,0.7750909172888851,0.8015213028067176
Belgium,2020-04-20,1276,2020-04-14,2020-04-27,0.8323146422551817,0.8322946611943257,0.8185274701925187,0.8462153649377054
Belgium,2020-04-21,1270,2020-04-15,2020-04-28,0.7998385545584514,0.7998178773732363,0.7860917602766768,0.8137028554656648
Belgium,2020-04-22,777,2020-04-16,2020-04-29,0.7552248577659286,0.7552034930580315,0.7416493699084814,0.7689217593685399
Belgium,2020-04-23,976,2020-04-17,2020-04-30,0.7130288479747251,0.7130066249765308,0.699578699342905,0.7266052879257643
Belgium,2020-04-24,811,2020-04-18,2020-05-01,0.6666354076761308,0.6666121102949281,0.6533232173078858,0.6800799949675487
Belgium,2020-04-25,388,2020-04-19,2020-05-02,0.6724422939719918,0.6724176679588149,0.658697915922869,0.6863266194314814
Belgium,2020-04-26,205,2020-04-20,2020-05-03,0.6903264276977741,0.6903002761738012,0.6759768726445198,0.7048245994944627
Belgium,2020-04-27,755,2020-04-21,2020-05-04,0.6815108870626352,0.6814831598988965,0.6668327852214393,0.6963465598486793
Belgium,2020-04-28,569,2020-04-22,2020-05-05,0.6581557132942911,0.658126340754852,0.6433132778688276,0.6731650701598059
Belgium,2020-04-29,522,2020-04-23,2020-05-06,0.6781611289198172,0.6781299235277239,0.6626331969957747,0.6938663982076424
Belgium,2020-04-30,586,2020-04-24,2020-05-07,0.6679370646706573,0.66790388378812,0.6520498776271807,0.6840128155816337
Belgium,2020-05-01,237,2020-04-25,2020-05-08,0.6747866105638295,0.674751366630655,0.6583317167296602,0.6914417923708808
Belgium,2020-05-02,286,2020-04-26,2020-05-09,0.7004872986006588,0.7004498437487977,0.6832053559203385,0.7179820936877732
Belgium,2020-05-03,140,2020-04-27,2020-05-10,0.7320136996825207,0.731974005162571,0.7138273997225016,0.7504255798663424
Belgium,2020-05-04,670,2020-04-28,2020-05-11,0.7367271263160877,0.7366852767542917,0.7179963935401118,0.7556956861927528
Belgium,2020-05-05,546,2020-04-29,2020-05-12,0.7509033865188076,0.7508594282252162,0.7315246043756044,0.7705319794695604
Belgium,2020-05-06,552,2020-04-30,2020-05-13,0.7594979813662843,0.7594518930243188,0.7395443488112631,0.779713529570186
